Logistics Provider: Delhivery Limited
Invoice Date: 2025-01-15
Invoice Number: DLV-2025-001

AWB Number,Shipment Date,Origin Pincode,Destination Pincode,Weight (kg),Zone,Base Freight (INR),COD Fee (INR),RTO Fee (INR),Fuel Surcharge (INR),Other Surcharges (INR),GST Rate (%),Total Billed (INR),Notes
AWB200001,2025-01-01,400001,110001,2.5,A,120.00,30.00,0.00,14.40,0.00,18,194.59,Clean invoice
AWB200002,2025-01-02,400001,560001,5.0,A,280.00,0.00,0.00,33.60,0.00,18,369.25,ZONE MISMATCH - 560001 is Bangalore = Zone B not A
AWB200003,2025-01-03,400001,700001,1.0,C,95.00,0.00,0.00,11.40,0.00,18,124.77,Clean invoice
AWB200004,2025-01-04,400001,600001,3.5,B,210.00,35.00,0.00,25.20,0.00,18,318.44,Clean invoice with COD
AWB200005,2025-01-05,400001,380001,8.0,D,380.00,0.00,120.00,45.60,0.00,18,641.65,Clean invoice with RTO
AWB200006,2025-01-06,400001,500001,2.0,B,160.00,25.00,0.00,19.20,0.00,18,240.66,RATE DEVIATION - Zone B 2kg should be ~110 INR not 160
AWB200007,2025-01-07,400001,302001,4.0,C,180.00,50.00,0.00,21.60,0.00,18,295.85,COD FEE MISMATCH - 50 charged, should be 2.5% of value
AWB200008,2025-01-08,400001,226001,6.5,D,310.00,0.00,0.00,49.60,75.00,18,511.93,NON-CONTRACTED SURCHARGE 75 INR
AWB200009,2025-01-09,400001,641001,3.0,E,250.00,30.00,0.00,30.00,0.00,20,372.00,GST ERROR - 20% instead of 18%
AWB200001,2025-01-10,400001,110001,2.5,A,120.00,30.00,0.00,14.40,0.00,18,194.59,DUPLICATE AWB200001
AWB200010,2025-01-11,400001,831001,10.0,E,520.00,0.00,0.00,62.40,0.00,18,690.83,ARITHMETIC ERROR - correct total is 688.83
AWB200011,2025-01-12,400001,440001,1.5,A,90.00,25.00,0.00,10.80,0.00,18,148.50,Clean invoice
AWB200012,2025-01-13,400001,682001,7.0,C,340.00,45.00,0.00,40.80,0.00,18,500.84,Clean invoice with COD
AWB200013,2025-01-14,400001,462001,4.5,B,195.00,0.00,65.00,23.40,0.00,18,331.71,Clean invoice with RTO
AWB200014,2025-01-15,400001,160001,9.0,A,410.00,0.00,0.00,73.80,0.00,18,571.19,FUEL SURCHARGE MISMATCH - 18% applied instead of 12%
AWB200015,2025-01-15,400001,530001,2.5,E,190.00,30.00,0.00,22.80,0.00,18,285.89,ZONE MISMATCH - 530001 is Nagpur = Zone A/B not E
