BlueDart Express Limited
Tax Invoice | Date: 2025-01-20

AWB Number,Shipment Date,Origin Pincode,Destination Pincode,Weight (kg),Zone,Base Freight (INR),COD Fee (INR),RTO Fee (INR),Fuel Surcharge (INR),Other Surcharges (INR),GST Rate (%),Total Billed (INR),Notes
BD300001,2025-01-01,400001,110001,1.5,A,80.00,0.00,0.00,9.60,0.00,18,105.97,Clean invoice
BD300002,2025-01-02,400001,560001,3.0,B,160.00,40.00,0.00,19.20,0.00,18,258.26,Clean invoice with COD
BD300003,2025-01-03,400001,700001,2.0,C,110.00,0.00,0.00,13.20,0.00,18,145.54,Clean invoice
BD300004,2025-01-04,400001,110001,7.0,B,350.00,0.00,0.00,42.00,0.00,18,463.46,ZONE MISMATCH - 110001 Delhi should be Zone A not B
BD300005,2025-01-05,400001,600001,4.5,E,400.00,50.00,0.00,48.00,0.00,18,585.64,ZONE MISMATCH - 600001 Chennai should be Zone E - correct!
BD300006,2025-01-06,400001,380001,1.0,A,120.00,0.00,0.00,14.40,0.00,18,157.55,RATE DEVIATION - 1kg Zone A should be ~80 INR not 120
BD300007,2025-01-07,400001,302001,5.0,C,280.00,0.00,150.00,33.60,0.00,18,549.01,RTO OVERCHARGE - 150 billed, 50% of 280 = 140
BD300008,2025-01-08,400001,500001,2.5,B,140.00,35.00,0.00,25.20,50.00,18,296.50,NON-CONTRACTED SURCHARGE 50 INR
BD300009,2025-01-09,400001,641001,6.0,E,500.00,0.00,0.00,90.00,0.00,18,695.20,FUEL MISMATCH - 18% applied (90) should be 12% (60)
BD300010,2025-01-10,400001,831001,3.5,E,300.00,30.00,0.00,36.00,0.00,18,431.88,Clean invoice
